iter	Passed	Remaining
436	2344	337
437	2348	332
438	2354	327
439	2358	321
440	2363	316
441	2369	310
442	2374	305
443	2379	300
444	2384	294
445	2389	289
446	2394	283
447	2399	278
448	2404	273
449	2409	267
450	2414	262
451	2419	256
452	2424	251
453	2429	246
454	2435	240
455	2441	235
456	2445	230
457	2451	224
458	2455	219
459	2460	213
460	2466	208
461	2472	203
462	2477	197
463	2483	192
464	2487	187
465	2492	181
466	2498	176
467	2503	171
468	2508	165
469	2514	160
470	2519	155
471	2523	149
472	2528	144
473	2533	138
474	2539	133
475	2544	128
476	2550	122
477	2555	117
478	2560	112
479	2566	106
480	2571	101
481	2575	96
482	2581	90
483	2586	85
484	2591	80
485	2597	74
486	2601	69
487	2606	64
488	2612	58
489	2616	53
490	2621	48
491	2627	42
492	2632	37
493	2637	32
494	2643	26
495	2648	21
496	2653	16
497	2658	10
498	2664	5
499	2668	0
