iter	MultiClass
0	1.062543521
1	1.031765862
2	1.003791006
3	0.9770867635
4	0.9545204392
5	0.9330797464
6	0.9125333695
7	0.8945531073
8	0.8766008386
9	0.860213997
10	0.8427394931
11	0.8280359668
12	0.8147933347
13	0.80129388
14	0.7876682993
15	0.7771075504
16	0.7649802231
17	0.7541435227
18	0.7429067216
19	0.7326572285
20	0.7227032364
21	0.7132587756
22	0.7037491151
23	0.6958474645
24	0.6877049167
25	0.6798663398
26	0.6721143096
27	0.664756052
28	0.65716818
29	0.6501722535
30	0.6423472064
31	0.6361040065
32	0.6305386444
33	0.6229388361
34	0.6169892512
35	0.6095824798
36	0.6025673395
37	0.5958445752
38	0.589720624
39	0.5848349989
40	0.579083646
41	0.5738039781
42	0.5691046496
43	0.56416244
44	0.5593214925
45	0.5550937681
46	0.5505900205
47	0.5462838492
48	0.5417498985
49	0.5377194043
50	0.5337845745
51	0.5275588096
52	0.5234309442
53	0.5198491926
54	0.51476768
55	0.5097392307
56	0.5043081839
57	0.4996043122
58	0.4961757696
59	0.4927269853
60	0.4886030718
61	0.4850951715
62	0.4809047821
63	0.4777507167
64	0.4743937734
65	0.4714831941
66	0.4687661413
67	0.465586853
68	0.4620815833
69	0.4586991118
70	0.4551123052
71	0.4516088282
72	0.4489533379
73	0.4462469136
74	0.4430821699
75	0.4408627645
76	0.4366973101
77	0.4346080379
78	0.4320488095
79	0.4296068853
80	0.4253321026
81	0.4215591804
82	0.4188896627
83	0.4167989706
84	0.4146777146
85	0.412442915
86	0.4095121853
87	0.4076172738
88	0.4054837851
89	0.4030234032
90	0.4009056573
91	0.3985672732
92	0.3959637847
93	0.3924984564
94	0.3887532559
95	0.3864182875
96	0.3846384427
97	0.3808585311
98	0.3786947894
99	0.3763208179
100	0.3742039563
101	0.3722579375
102	0.3689951101
103	0.3660196946
104	0.3639971816
105	0.3621702998
106	0.3604606571
107	0.3580978166
108	0.3551673764
109	0.35347159
110	0.3515985156
111	0.3497505479
112	0.3467383709
113	0.3448666992
114	0.3428292968
115	0.3410587827
116	0.3389381743
117	0.3375959079
118	0.3361158767
119	0.3346423445
120	0.3331109208
121	0.3314755312
122	0.3299268958
123	0.3285602596
124	0.3274432335
125	0.3256655286
126	0.324560497
127	0.3229552914
128	0.3212727684
129	0.3198511367
130	0.3176436385
131	0.3164966954
132	0.3151689126
133	0.3140777399
134	0.3118117516
135	0.3098967706
136	0.3085064698
137	0.3072316128
138	0.3060191672
139	0.3047609526
140	0.302883645
141	0.301497932
142	0.2995388092
143	0.297812349
144	0.2967975766
145	0.2948817094
146	0.2934674477
147	0.291458407
148	0.2898617738
149	0.288674272
150	0.2875393868
151	0.2859082502
152	0.2848405284
153	0.2836380072
154	0.2823163184
155	0.2812802243
156	0.2804026332
157	0.2786996252
158	0.2777470034
159	0.2768071602
160	0.2758769295
161	0.2748965966
162	0.2729411553
163	0.2717901648
164	0.2710099342
165	0.2699383752
166	0.2682516547
167	0.2667947981
168	0.2659514402
169	0.2650015796
170	0.2635050563
171	0.2621588535
172	0.2606516653
173	0.2597321698
174	0.2588741909
175	0.2577526774
176	0.2568818947
177	0.2556397835
178	0.2540282103
179	0.2523893015
180	0.2512186342
181	0.2501370273
182	0.2488593365
183	0.2474613755
184	0.2459340771
185	0.2447262654
186	0.243752979
187	0.2426170207
188	0.2417499264
189	0.2409549757
190	0.2397105868
191	0.2387739921
192	0.2373568923
193	0.2365307901
194	0.2358107198
195	0.2348355559
196	0.2337156698
197	0.2327630767
198	0.2314557683
199	0.2307030676
200	0.2297639167
201	0.2290938851
202	0.2284153805
203	0.2278240978
204	0.2266383439
205	0.2255897113
206	0.2242971761
207	0.2236215426
208	0.2224606973
209	0.2216635925
210	0.2208849199
211	0.2201238661
212	0.2192298202
213	0.2186317884
214	0.2177511172
215	0.2169219205
216	0.2162443608
217	0.2151363349
218	0.214472256
219	0.2132317795
220	0.2123839363
221	0.2117452223
222	0.2104812443
223	0.2099076476
224	0.2091752545
225	0.2081288646
226	0.2072453064
227	0.2064387073
228	0.2058750209
229	0.2052928565
230	0.2047557764
231	0.2037791695
232	0.2027433945
233	0.2020784456
234	0.201197515
235	0.2004187243
